i,05/15/2018 20:32:32,Cosmos,g_pCosmosConfig is NULL,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1690" Pid="15080" Tid="8824" TS="0x01D3ECAD6111DFC2" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,05/15/2018 20:32:32,Cosmos,ThreadPoolCreateThreadTimer,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::Initialize" SrcLine="143" Pid="15080" Tid="8824" TS="0x01D3ECAD6111DFC2" String1="pThreadPool=0000017C4BAC7CD0 TimerThreadId=12656 uMaxThreadCount=16 uLogCallbackTimeMs=10000 uLogPoolQueueTimeMs=100 uLogPoolQueueDepth=100 uLogTimerQueueTimeMs=100 uLogTimerQueueDepth=100"
d,05/15/2018 20:32:32,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="382" Pid="15080" Tid="8824" TS="0x01D3ECAD6111DFC2" String1="pThreadPool=0000017C4BAC7CD0 WorkerThreadId=7192 uCreatedThreadCount=1 uMaxThreadCount=16"
d,05/15/2018 20:32:32,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="382" Pid="15080" Tid="7192" TS="0x01D3ECAD6111F34B" String1="pThreadPool=0000017C4BAC7CD0 WorkerThreadId=13968 uCreatedThreadCount=2 uMaxThreadCount=16"
d,05/15/2018 20:32:32,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="15080" Tid="7192" TS="0x01D3ECAD6111F34B" String1="pThreadPool=0000017C4BAC7CD0 Class=class AsyncCallbackJob Instance=0000017C4D8CB3A0 Latency=0 StartedAt=131709043525940043 FinishedAt=131709043525940043"
d,05/15/2018 20:32:32,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="15080" Tid="7192" TS="0x01D3ECAD611318A1" String1="pThreadPool=0000017C4BAC7CD0 Class=class AsyncCallbackJob Instance=0000017C4D8CB3A0 Latency=10081 StartedAt=131709043526005056 FinishedAt=131709043526015137"
d,05/15/2018 20:32:32,Cosmos,ThreadPoolCreateThreadWorker,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::CreateNewThread" SrcLine="382" Pid="15080" Tid="13968" TS="0x01D3ECAD611318A1" String1="pThreadPool=0000017C4BAC7CD0 WorkerThreadId=8932 uCreatedThreadCount=3 uMaxThreadCount=16"
d,05/15/2018 20:32:32,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="15080" Tid="13968" TS="0x01D3ECAD611318A1" String1="pThreadPool=0000017C4BAC7CD0 Class=class AsyncCallbackJob Instance=0000017C4D8CBEE0 Latency=0 StartedAt=131709043526015137 FinishedAt=131709043526015137"
d,05/15/2018 20:32:32,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="15080" Tid="7192" TS="0x01D3ECAD6114163D" String1="pThreadPool=0000017C4BAC7CD0 Class=class AsyncCallbackJob Instance=0000017C4D8CB580 Latency=14945 StartedAt=131709043526065116 FinishedAt=131709043526080061"
d,05/15/2018 20:32:32,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="15080" Tid="13968" TS="0x01D3ECAD6114163D" String1="pThreadPool=0000017C4BAC7CD0 Class=class AsyncCallbackJob Instance=0000017C4D8CB580 Latency=0 StartedAt=131709043526080061 FinishedAt=131709043526080061"
d,05/15/2018 20:32:32,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="15080" Tid="7192" TS="0x01D3ECAD6115EB13" String1="pThreadPool=0000017C4BAC7CD0 Class=class AsyncCallbackJob Instance=0000017C4D8CBEE0 Latency=0 StartedAt=131709043526200083 FinishedAt=131709043526200083"
